Class Index,Description
2,The Dolphins #39; nightmare got worse Tuesday with news that linebacker Junior Seau will miss the rest of the season with a pectoral injury.
4,"Reuters - Cannabis-based treatments may\have longer-term benefits for multiple sclerosis patients,\scientists said on Friday."
4,"Here's a hands-on look at the moderately priced, multiformat DV-CP802."
1,"The ouster of Myanmar #39;s prime minister, architect of a tentative  quot;roadmap to democracy, quot; has dashed faint hopes for an end to military rule and leaves Southeast Asia #39;s policy of constructive engagement in tatters."
1,"Description: Days of political unrest in Haiti #39;s capital leave at least 14 people dead. In Port-au-Prince, at least 10 civilians and four police officers have been killed since Thursday, in confrontations"
2,Reuters - The Oakland Raiders\might have lost Ronald Curry for the rest of the season after\the promising young receiver suffered what is likely a torn\left Achilles' tendon in a 34-27 loss to the Chiefs on Sunday.
4,"NASA #39;s experimental X-43A, a sleek unpiloted forerunner to a routine space launcher or a blindingly fast airliner, streaked above the Pacific Ocean on Tuesday to establish a speed record for jet aircraft of about 6,600 mph."
4,"Intel has dropped plans to turn its latest batch of chip sets into wireless access points, citing a lack of interest from PC vendors and the rising number of stand-alone access points."
4,"Yahoo #39;s Overture Services division has extended its deal to provide ad placement technology to Microsoft Web portal MSN.com, the companies said Thursday."
4,"quot;DRC quot; was developed in 1997 as a technology that changed a standard television signal format to a high-definition signal format, based on the concept of establishing a higher definition signal format from scratch. The foundation of this technology was ..."
4,"WASHINGTON -- A newly discovered fossil might be the remains of one of the first stealth hunters, a swimming dinosaur that could use its long neck to sneak up on prey and strike without warning."
1,"JERUSALEM - Iran threatened this week to attack Israel's nuclear facilities. Israel ominously warned that it ""knows how to defend itself."" Tensions between the two arch enemies have suddenly escalated, underlining the other great enmity that has been bubbling on the sidelines of the Arab-Israeli conflict for more than two decades..."
1,European Union (EU) foreign policychief Javier Solana wrote on Wednesday to the incumbent Afghan leader Hamid Karzai congratulating him on his victory in the firstdirect presidential elections in Afghanistan.
1,"AFP - A member of the US House of Representatives has demanded a full congressional investigation of allegations that the all-volunteer US Army was trying to coerce soldiers at the end of their contracts to re-enlist, threatening them with tours of duty in Iraq if they refused."
3,President Bush on Saturday acknowledged US manufacturing workers have seen a  quot;time of change quot; in the economy but said his private sector-based policies were the way to boost growth.
4,"Updated: A  quot;cumulative security update quot; plugs eight holes in the Internet Explorer browser, while other patches address  quot;critical quot; vulnerabilities in the Windows shell, in SMTP and elsewhere."
1,Dozens have died in Haiti as a result of floods accompanying a tropical storm which swept through the Caribbean island of Hispaniola.
2,PITTSBURGH (Sports Network) - Pittsburgh Steelers starting  quarterback Tommy Maddox will be sidelined at least six weeks  after suffering a right elbow injury during Sunday's 30-13 loss  to Baltimore.
3,"Reuters - The Nikkei average opened 0.69 percent\higher on Wednesday as gains on Wall Street eased uncertainty\ahead of the Nov. 2 U.S. presidential election, prompting\buying of Toyota Motor Corp. and other exporters."
2,Ruud van Nistelrooy has been charged with serious foul play for a tackle on Ashley Cole during Manchester United #39;s 2-0 victory over Arsenal.
2,They are two schools known for their quarterback pedigree. Purdue #39;s Kyle Orton and Notre Dame #39;s Brady Quinn added to that mystique Saturday.
1,Ryu Seung Min of South Korea beats Wang Hao to take gold in the table tennis men's singles.
4,"TORONTO: New internet-based technology could soon turn regular computer users into armchair spies, a Canadian inventor says. Vincent Tao, an engineer at Toronto #39;s York University said he has invented a mapping"
1,Indonesian President Megawati Sukarnoputri is unlikely to contest her defeat in last month #39;s presidential election race at the constitutional court.
4,"Technology News, SAN FRANCISCO, Dell Inc. is looking to open its second European production plant, its chairman said on Tuesday, and a source familiar with the plan said the company was considering a location in France."
2,"FIFA, determined that the refereeing at the 2006 World Cup finals will be the best ever, are launching an 18-month campaign to ensure the world #39;s top referees are fully prepared for the finals in Germany."
3," TOKYO (Reuters) - The yen fell against the dollar on Friday  following a surprise rise in Japan's unemployment rate, but it  quickly recovered as traders turned their attention to an  upcoming speech from the Federal Reserve chief and U.S. growth  data."
2,"quot;Please solve this because I don #39;t want to be watching Trading Places on Saturday night. quot;. That was from David Whittle, a hockey fan out of Hamilton, adding a personal touch of levity - and we think he meant"
3,"Pfizer Inc. said today that it had found an increased risk of heart troubles in some people taking higher dosages of Celebrex, its popular arthritis and pain relief drug."
3," WASHINGTON (Reuters) - Japan's lucrative market for U.S.  beef, ruptured by mad cow disease worries, is likely to remain  closed for the rest of this year, U.S. meat industry officials  said on Thursday."
2,"AP - No. 23 Oklahoma State has a plan to halt Texas Tech's prolific passing attack. ""Being in position and bringing them down where they catch it, or breaking the ball out of the receiver's hands,"" Cowboys coach Les Miles said. ""Couple that with getting a pass rush, and that is what we worked on this past week."""
1,"Reuters - South American leaders on Wednesday\launched a regional integration pact they said would go beyond\rhetoric and usher in European-style unity, but only half the\future bloc's 12 presidents turned up to sign it."
4,Microsoft has unveiled a mid-range storage system that it said will make it quicker and easier to back-up and recover files from Windows servers.
2,India ended the fourth day needing 210 more runs to win this multi-stranded epic of a second Test and level the series against Australia.
1,"RANGOON, Burma, Nov. 25 -- Burma announced Thursday that it would release more than 5,000 prisoners, and a senior official said a top dissident who was democracy leader Aung San Suu Kyi's closest aide would also be freed before long."
4,"Is open source becoming the dumping ground for no-longer-wanted software, sort of like a Salvation Army dropoff point for programs instead of old clothes?"
3,"Viacom Inc. confirmed Thursday that it plans to bid for the part of MarketWatch that it doesn #39;t already own. Viacom, which holds a 22."
4,"Microsoft's decision to cut WinFS from its Longhorn release means another delay for the Microsoft Business Framework, which promises to make it easier for developers to write business applications for the Windows platform."
4,"Airborne endotoxins hundreds of times higher in smoky environments    HealthDayNews -- Smoke-filled rooms may contain levels of endotoxins dozens or hundreds of times greater than smoke-free rooms, says a study by researchers at Lund University in Sweden.     Endotoxins are poisonous airborne substances produced by bacteria..."
3,"Orders for durable goods including computers and communications equipment rose last month by the most since March, evidence that US manufacturing is gaining momentum less than two months before the presidential election."
3,US jobs data will be the biggest show in town next week as speculation mounts as to whether the Federal Reserve will raise interest rates in September.
4,NASA officials said today they were more optimistic about the possibilities for extricating some science from the battered Genesis space capsule.
4,"The next-generation OS will allow consumers to watch one channel while recording another, CNET News.com has learned."
